,ActivePower
1388,836.7719727
1389,893.1500244
1390,901.9882202
1391,1060.123047
1392,779.2860718
1393,703.4691162
1394,269.2567139
1395,25.31525993
1396,137.5820007
1397,102.8774033
1398,0.0
1399,0.0
1400,34.64329147
1401,9.358477592
1402,-0.038066749
1403,76.41145325
1404,165.3368988
1405,6.219003201
1406,0.0
1407,0.0
1408,178.4515076
1409,343.1393127
1410,435.1068115
1411,406.9784851
1412,448.7044983
1413,800.6533203
1414,655.5134888
1415,1025.270996
1416,1425.744995
1417,1472.78894
1418,909.2086792
1419,968.4990845
1420,1085.182007
1421,1240.958008
1422,1101.729004
1423,874.7224731
1424,842.2092896
1425,917.7385254
1426,849.1314087
1427,654.7645264
1428,847.4359131
1429,1219.274048
1430,1043.302979
1431,751.5518188
1432,622.8776855
1433,662.1469116
1434,571.3944702
1435,370.3487854
1436,338.7138977
1437,254.6609039
1438,372.598114
1439,504.1304016
1440,494.7366028
1441,536.3242188
1442,681.2307739
1443,664.9816284
1444,891.1411133
1445,1319.983032
1446,1471.79895
1447,1247.624023
1448,694.7996216
1449,1068.959961
1450,627.7581177
1451,454.7786865
1452,446.8510132
1453,981.527771
1454,596.6862183
1455,100.2984009
1456,140.3307037
1457,233.2548981
1458,137.0063934
1459,114.788002
1460,121.4857025
1461,230.169693
1462,248.4429016
1463,159.7536011
1464,299.6246033
1465,290.5631104
1466,234.2245941
1467,276.630188
1468,420.5224915
1469,430.6278992
1470,1131.89502
1471,1633.588989
1472,2047.962036
1473,2396.175049
1474,558.4265137
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,524.5814819
1485,1536.473999
1486,1421.634033
1487,1869.27002
1488,2189.730957
1489,2280.789063
1490,2427.85791
1491,2178.084961
1492,2496.608887
1493,3012.137939
1494,3042.054932
1495,2529.969971
1496,1848.623047
1497,1939.584961
1498,1850.525024
1499,1630.327026
1500,1564.635986
1501,1495.447998
1502,1564.937012
1503,1826.542969
1504,1634.281006
1505,1096.198975
1506,668.4063721
1507,1015.635986
1508,1208.708008
1509,1104.777954
1510,522.387085
1511,536.397522
1512,403.032196
1513,640.2962036
1514,856.3256226
1515,932.4849854
1516,1376.750977
1517,1003.030029
1518,1134.967041
1519,1507.255981
1520,1651.055054
1521,2031.52002
1522,1308.488037
1523,1793.678955
1524,2084.773926
1525,1890.524048
1526,1741.109985
1527,1914.267944
1528,1854.572998
1529,2271.259033
1530,2043.265015
1531,1447.266968
1532,1580.005981
1533,1791.380005
1534,1653.026001
1535,1328.930054
1536,1725.38501
1537,1846.192993
1538,2199.105957
1539,2437.365967
1540,2277.193115
1541,2043.82605
1542,1720.475952
1543,1338.25
1544,1169.993042
1545,1002.460022
1546,1104.290039
1547,1476.498047
1548,1741.936035
1549,2146.961914
1550,2310.988037
1551,2091.774902
1552,1835.990967
1553,1466.797974
1554,922.7778931
1555,1008.106995
1556,943.1107788
1557,1140.557983
1558,827.2052002
1559,801.1237183
1560,679.8209839
1561,697.1594238
1562,801.9691162
1563,728.5720215
1564,346.6856995
1565,197.9606018
1566,244.2593994
1567,140.9369049
1568,22.84959984
1569,0.0
1570,35.46245956
1571,27.05590057
1572,1.006333947
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,40.17253876
1581,82.41780853
1582,61.1172905
1583,33.36175919
1584,-0.331466705
1585,0.0
1586,0.0
1587,0.0
1588,7.744999886
1589,-0.958999574
1590,45.11072922
1591,96.53627777
